id,osm_id,source,target,length,foot,car_forward,car_backward,bike_forward,bike_backward,train,wkt
143073729-1,143073729,10700665043,7319611307,2.119568523041288,Forbidden,Forbidden,Forbidden,Forbidden,Forbidden,Allowed,"LINESTRING(4.9017657 52.3769978, 4.9017967 52.3769999)"
143073729-2,143073729,7319611307,7319611311,14.648810695954607,Forbidden,Forbidden,Forbidden,Forbidden,Forbidden,Allowed,"LINESTRING(4.9017967 52.3769999, 4.9019176 52.3770125, 4.9019683 52.3770192, 4.9020066 52.3770282)"
143073729-3,143073729,7319611311,4851679578,4.121876950514095,Forbidden,Forbidden,Forbidden,Forbidden,Forbidden,Allowed,"LINESTRING(4.9020066 52.3770282, 4.9020609 52.3770447)"
143073729-4,143073729,4851679578,9971788069,7.740658375724361,Forbidden,Forbidden,Forbidden,Forbidden,Forbidden,Allowed,"LINESTRING(4.9020609 52.3770447, 4.9020935 52.3770615, 4.9021237 52.3770768, 4.9021440 52.3770919)"
143073729-5,143073729,9971788069,9283437377,4.2770197103288625,Forbidden,Forbidden,Forbidden,Forbidden,Forbidden,Allowed,"LINESTRING(4.9021440 52.3770919, 4.9021487 52.3770954, 4.9021520 52.3770985, 4.9021785 52.3771240)"
143163471-0,143163471,9407660862,46402187,36.58688248052024,Allowed,Secondary,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(4.9035089 52.3751441, 4.9037408 52.3749837, 4.9038807 52.3749071)"
143163479-0,143163479,46409003,46405684,55.570674331562685,Allowed,Secondary,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(4.9029372 52.3761311, 4.9031073 52.3759985, 4.9031691 52.3759444, 4.9032092 52.3759023, 4.9032556 52.3758444, 4.9032790 52.3758072, 4.9032909 52.3757691, 4.9033039 52.3756965)"
144215369-0,144215369,659541358,6913885317,8.158247154128299,Allowed,Forbidden,Forbidden,Track,Track,Forbidden,"LINESTRING(4.9050875 52.3780309, 4.9051181 52.3780740, 4.9051334 52.3780986)"
144215369-1,144215369,6913885317,5273245824,3.026106643260596,Allowed,Forbidden,Forbidden,Track,Track,Forbidden,"LINESTRING(4.9051334 52.3780986, 4.9051464 52.3781246)"
144215369-2,144215369,5273245824,6913885318,0.6750545376921404,Allowed,Forbidden,Forbidden,Track,Track,Forbidden,"LINESTRING(4.9051464 52.3781246, 4.9051493 52.3781304)"
144215369-3,144215369,6913885318,2054127636,6.627704523366915,Allowed,Forbidden,Forbidden,Track,Track,Forbidden,"LINESTRING(4.9051493 52.3781304, 4.9051746 52.3781879)"
144215369-4,144215369,2054127636,2054127656,11.271431466354713,Allowed,Forbidden,Forbidden,Track,Track,Forbidden,"LINESTRING(4.9051746 52.3781879, 4.9052094 52.3782869)"
144215369-5,144215369,2054127656,30170521,19.41689762124176,Allowed,Forbidden,Forbidden,Track,Track,Forbidden,"LINESTRING(4.9052094 52.3782869, 4.9052240 52.3783284, 4.9052862 52.3784548)"
